OP,GPU_num,GPU_used,data_size(B),Bandwidth(GB/s)
all_reduce_perf,1,0,16777216,0.00
all_reduce_perf,1,1,16777216,0.00
all_reduce_perf,1,2,16777216,0.00
all_reduce_perf,1,3,16777216,0.00
all_reduce_perf,1,4,16777216,0.00
all_reduce_perf,1,5,16777216,0.00
all_reduce_perf,1,6,16777216,0.00
all_reduce_perf,1,7,16777216,0.00
all_reduce_perf,2,01,16777216,206.50
all_reduce_perf,2,02,16777216,205.19
all_reduce_perf,2,03,16777216,206.11
all_reduce_perf,2,04,16777216,205.18
all_reduce_perf,2,05,16777216,206.00
all_reduce_perf,2,06,16777216,206.10
all_reduce_perf,2,07,16777216,206.01
all_reduce_perf,2,12,16777216,205.68
all_reduce_perf,2,13,16777216,207.40
all_reduce_perf,2,14,16777216,206.10
all_reduce_perf,2,15,16777216,206.78
all_reduce_perf,2,16,16777216,206.88
all_reduce_perf,2,17,16777216,206.71
all_reduce_perf,2,23,16777216,206.99
all_reduce_perf,2,24,16777216,205.55
all_reduce_perf,2,25,16777216,206.34
all_reduce_perf,2,26,16777216,206.20
all_reduce_perf,2,27,16777216,205.66
all_reduce_perf,2,34,16777216,206.63
all_reduce_perf,2,35,16777216,205.89
all_reduce_perf,2,36,16777216,206.06
all_reduce_perf,2,37,16777216,204.83
all_reduce_perf,2,45,16777216,205.97
all_reduce_perf,2,46,16777216,207.11
all_reduce_perf,2,47,16777216,205.23
all_reduce_perf,2,56,16777216,205.71
all_reduce_perf,2,57,16777216,205.39
all_reduce_perf,2,67,16777216,206.85
all_reduce_perf,3,012,16777216,232.56
all_reduce_perf,3,013,16777216,234.46
all_reduce_perf,3,014,16777216,232.13
all_reduce_perf,3,015,16777216,233.71
all_reduce_perf,3,016,16777216,233.27
all_reduce_perf,3,017,16777216,233.60
all_reduce_perf,3,023,16777216,232.68
all_reduce_perf,3,024,16777216,235.72
all_reduce_perf,3,025,16777216,235.36
all_reduce_perf,3,026,16777216,232.92
all_reduce_perf,3,027,16777216,232.68
all_reduce_perf,3,034,16777216,232.09
all_reduce_perf,3,035,16777216,234.85
all_reduce_perf,3,036,16777216,232.97
all_reduce_perf,3,037,16777216,233.39
all_reduce_perf,3,045,16777216,233.35
all_reduce_perf,3,046,16777216,233.74
all_reduce_perf,3,047,16777216,233.87
all_reduce_perf,3,056,16777216,233.45
all_reduce_perf,3,057,16777216,232.34
all_reduce_perf,3,067,16777216,235.24
all_reduce_perf,3,123,16777216,234.50
all_reduce_perf,3,124,16777216,233.55
all_reduce_perf,3,125,16777216,231.66
all_reduce_perf,3,126,16777216,234.08
all_reduce_perf,3,127,16777216,232.48
all_reduce_perf,3,134,16777216,233.88
all_reduce_perf,3,135,16777216,234.68
all_reduce_perf,3,136,16777216,233.49
all_reduce_perf,3,137,16777216,233.88
all_reduce_perf,3,145,16777216,233.02
all_reduce_perf,3,146,16777216,232.87
all_reduce_perf,3,147,16777216,233.81
all_reduce_perf,3,156,16777216,235.04
all_reduce_perf,3,157,16777216,233.87
all_reduce_perf,3,167,16777216,233.63
all_reduce_perf,3,234,16777216,233.87
all_reduce_perf,3,235,16777216,233.44
all_reduce_perf,3,236,16777216,233.52
all_reduce_perf,3,237,16777216,233.67
all_reduce_perf,3,245,16777216,232.22
all_reduce_perf,3,246,16777216,233.59
all_reduce_perf,3,247,16777216,232.17
all_reduce_perf,3,256,16777216,233.61
all_reduce_perf,3,257,16777216,233.61
all_reduce_perf,3,267,16777216,234.95
all_reduce_perf,3,345,16777216,232.65
all_reduce_perf,3,346,16777216,232.81
all_reduce_perf,3,347,16777216,233.12
all_reduce_perf,3,356,16777216,233.92
all_reduce_perf,3,357,16777216,233.98
all_reduce_perf,3,367,16777216,235.07
all_reduce_perf,3,456,16777216,232.13
all_reduce_perf,3,457,16777216,232.94
all_reduce_perf,3,467,16777216,234.17
all_reduce_perf,3,567,16777216,234.34
all_reduce_perf,4,0123,16777216,243.63
all_reduce_perf,4,0124,16777216,243.33
all_reduce_perf,4,0125,16777216,242.03
all_reduce_perf,4,0126,16777216,241.76
all_reduce_perf,4,0127,16777216,242.33
all_reduce_perf,4,0134,16777216,243.28
all_reduce_perf,4,0135,16777216,242.80
all_reduce_perf,4,0136,16777216,241.79
all_reduce_perf,4,0137,16777216,242.37
all_reduce_perf,4,0145,16777216,242.84
all_reduce_perf,4,0146,16777216,241.93
all_reduce_perf,4,0147,16777216,242.15
all_reduce_perf,4,0156,16777216,243.23
all_reduce_perf,4,0157,16777216,242.38
all_reduce_perf,4,0167,16777216,241.35
all_reduce_perf,4,0234,16777216,242.50
all_reduce_perf,4,0235,16777216,242.42
all_reduce_perf,4,0236,16777216,242.89
all_reduce_perf,4,0237,16777216,241.95
all_reduce_perf,4,0245,16777216,241.23
all_reduce_perf,4,0246,16777216,242.65
all_reduce_perf,4,0247,16777216,242.76
all_reduce_perf,4,0256,16777216,243.25
all_reduce_perf,4,0257,16777216,243.05
all_reduce_perf,4,0267,16777216,242.44
all_reduce_perf,4,0345,16777216,240.91
all_reduce_perf,4,0346,16777216,242.12
all_reduce_perf,4,0347,16777216,242.42
all_reduce_perf,4,0356,16777216,242.55
all_reduce_perf,4,0357,16777216,244.14
all_reduce_perf,4,0367,16777216,242.53
all_reduce_perf,4,0456,16777216,242.78
all_reduce_perf,4,0457,16777216,240.82
all_reduce_perf,4,0467,16777216,242.69
all_reduce_perf,4,0567,16777216,243.11
all_reduce_perf,4,1234,16777216,244.08
all_reduce_perf,4,1235,16777216,243.08
all_reduce_perf,4,1236,16777216,242.80
all_reduce_perf,4,1237,16777216,243.04
all_reduce_perf,4,1245,16777216,242.53
all_reduce_perf,4,1246,16777216,241.85
all_reduce_perf,4,1247,16777216,241.74
all_reduce_perf,4,1256,16777216,243.16
all_reduce_perf,4,1257,16777216,242.69
all_reduce_perf,4,1267,16777216,242.79
all_reduce_perf,4,1345,16777216,242.29
all_reduce_perf,4,1346,16777216,242.39
all_reduce_perf,4,1347,16777216,242.50
all_reduce_perf,4,1356,16777216,243.34
all_reduce_perf,4,1357,16777216,243.57
all_reduce_perf,4,1367,16777216,241.99
all_reduce_perf,4,1456,16777216,242.99
all_reduce_perf,4,1457,16777216,241.95
all_reduce_perf,4,1467,16777216,243.72
all_reduce_perf,4,1567,16777216,241.91
all_reduce_perf,4,2345,16777216,242.50
all_reduce_perf,4,2346,16777216,243.35
all_reduce_perf,4,2347,16777216,242.71
all_reduce_perf,4,2356,16777216,242.82
all_reduce_perf,4,2357,16777216,243.00
all_reduce_perf,4,2367,16777216,242.48
all_reduce_perf,4,2456,16777216,241.51
all_reduce_perf,4,2457,16777216,242.76
all_reduce_perf,4,2467,16777216,242.98
all_reduce_perf,4,2567,16777216,242.52
all_reduce_perf,4,3456,16777216,243.10
all_reduce_perf,4,3457,16777216,242.22
all_reduce_perf,4,3467,16777216,242.15
all_reduce_perf,4,3567,16777216,242.35
all_reduce_perf,4,4567,16777216,241.69
all_reduce_perf,5,01234,16777216,229.28
all_reduce_perf,5,01235,16777216,229.87
all_reduce_perf,5,01236,16777216,228.78
all_reduce_perf,5,01237,16777216,228.40
all_reduce_perf,5,01245,16777216,229.39
all_reduce_perf,5,01246,16777216,229.37
all_reduce_perf,5,01247,16777216,228.32
all_reduce_perf,5,01256,16777216,227.41
all_reduce_perf,5,01257,16777216,228.75
all_reduce_perf,5,01267,16777216,228.95
all_reduce_perf,5,01345,16777216,228.67
